project_id,project_name,start_date,end_date,planned_duration_days,actual_duration_days,budget,actual_cost,team_size,complexity_score,risk_level,customer_satisfaction,cost_overrun_pct,success
67,Project_67,2022-05-01,2022-10-04,149,156,71472.26,54339.45,7,1,High,96.33,-23.97,0
68,Project_68,2022-09-04,2022-12-18,112,105,304716.74,381923.28,11,7,Low,80.35,25.34,0
69,Project_69,2019-01-30,2019-09-14,189,227,121390.9,136865.45,19,3,Low,92.79,12.75,0
70,Project_70,2021-11-17,2022-05-18,143,182,104074.09,135288.89,11,8,High,76.61,29.99,0
71,Project_71,2020-08-24,2021-03-18,151,206,203845.85,291608.13,13,3,Low,88.86,43.05,0
72,Project_72,2022-12-16,2023-05-15,170,150,91309.58,106660.51,17,1,Low,88.98,16.81,0
73,Project_73,2021-03-25,2021-11-12,247,232,92370.64,118317.25,8,8,High,78.64,28.09,0
74,Project_74,2019-06-23,2020-04-18,258,300,190135.99,248253.9,5,3,Low,84.13,30.57,0
75,Project_75,2019-12-12,2020-08-27,231,259,490779.74,491898.93,19,2,Low,100.0,0.23,0
76,Project_76,2019-04-26,2019-08-10,67,106,128898.62,115089.44,7,1,Low,99.48,-10.71,0
77,Project_77,2019-10-16,2020-07-25,234,283,57722.5,49874.33,14,3,High,100.0,-13.6,0
78,Project_78,2020-08-18,2020-10-23,94,66,393513.99,354616.69,20,2,Low,89.57,-9.88,1
79,Project_79,2020-06-06,2021-02-15,265,254,413110.84,379973.33,16,2,Low,98.34,-8.02,1
80,Project_80,2019-09-09,2020-02-24,140,168,205836.94,178209.94,23,6,Medium,95.45,-13.42,0
81,Project_81,2019-04-25,2019-12-09,223,228,259103.22,363412.1,13,1,Low,86.83,40.26,0
82,Project_82,2022-04-27,2022-08-02,109,97,342398.16,447034.8,11,2,Low,93.16,30.56,0
83,Project_83,2022-07-28,2023-03-07,163,222,71626.52,52825.79,4,6,Medium,88.41,-26.25,0
84,Project_84,2021-01-13,2021-08-28,191,227,477115.58,436531.17,14,3,Low,100.0,-8.51,0
85,Project_85,2021-07-27,2021-09-14,61,49,449006.17,322273.19,5,4,Medium,100.0,-28.23,1
86,Project_86,2019-10-23,2020-04-22,193,182,167402.13,183896.62,5,1,Low,93.73,9.85,1
87,Project_87,2020-05-27,2020-10-27,113,153,56887.04,61493.1,3,8,High,83.34,8.1,0
88,Project_88,2020-12-03,2021-06-07,165,186,470046.34,641658.94,10,7,Low,85.81,36.51,0
89,Project_89,2022-05-23,2022-07-27,63,65,275467.95,260653.78,24,7,High,97.4,-5.38,0
90,Project_90,2019-08-23,2019-12-23,113,122,292719.85,396081.74,10,3,Low,82.29,35.31,0
91,Project_91,2021-01-18,2021-11-02,280,288,357783.7,527508.78,13,10,High,68.67,47.44,0
92,Project_92,2020-03-07,2021-01-02,250,301,327133.02,252130.11,11,10,High,83.59,-22.93,0
93,Project_93,2022-07-19,2023-01-10,205,175,474751.22,633059.04,7,3,Low,78.77,33.35,0
94,Project_94,2021-05-10,2022-01-22,277,257,474913.22,556581.54,16,2,Low,87.25,17.2,0
95,Project_95,2021-02-06,2021-06-15,103,129,440239.52,477235.83,5,1,Low,90.96,8.4,0
96,Project_96,2020-11-14,2021-08-20,221,279,336381.62,348635.54,23,7,Medium,84.57,3.64,0
97,Project_97,2019-06-17,2020-03-23,261,280,410427.18,544938.37,7,7,Low,79.49,32.77,0
98,Project_98,2019-03-13,2019-11-09,249,241,354725.75,429746.37,7,2,Low,91.83,21.15,0
99,Project_99,2021-01-11,2021-10-25,287,287,308015.17,413983.4,21,7,Medium,86.93,34.4,0
100,Project_100,2020-04-15,2020-07-08,73,84,107825.16,153383.54,16,8,High,70.33,42.25,0
101,Project_101,2020-03-15,2020-07-23,154,130,415041.88,495481.55,6,1,Low,97.61,19.38,0
102,Project_102,2022-04-22,2022-07-23,107,92,419287.76,622378.25,15,9,Low,70.9,48.44,0
103,Project_103,2019-12-13,2020-04-24,74,133,331672.85,393519.98,12,7,Low,83.66,18.65,0
104,Project_104,2020-01-01,2020-10-15,259,288,419192.08,506935.46,20,3,Low,92.59,20.93,0
105,Project_105,2020-09-10,2021-05-04,265,236,343168.15,392533.74,10,8,High,78.07,14.39,0
106,Project_106,2022-11-25,2023-07-27,274,244,143007.96,110516.79,10,7,High,91.41,-22.72,0
107,Project_107,2019-04-07,2019-12-29,249,266,173282.51,221995.28,9,8,High,80.4,28.11,0
108,Project_108,2020-07-12,2020-09-30,99,80,146565.1,166784.79,10,6,Medium,89.32,13.8,0
109,Project_109,2022-08-29,2023-07-05,272,310,219766.59,233112.65,16,9,High,86.12,6.07,0
110,Project_110,2020-07-10,2021-04-09,267,273,67533.41,96463.17,21,5,Medium,91.93,42.84,0
111,Project_111,2021-11-08,2022-09-01,296,297,328214.25,307985.61,8,3,Low,92.31,-6.16,1
112,Project_112,2022-05-14,2022-09-10,141,119,201449.4,225398.07,3,3,Low,89.28,11.89,0
113,Project_113,2021-10-22,2022-03-29,170,158,345075.19,434143.75,17,1,Low,87.64,25.81,0
114,Project_114,2022-07-26,2022-12-02,112,129,223428.48,298763.52,3,8,High,75.11,33.72,0
115,Project_115,2020-12-09,2021-04-20,83,132,356726.15,380797.12,19,2,Low,91.79,6.75,0
116,Project_116,2019-08-03,2020-02-04,213,185,203281.06,279241.73,3,3,Low,90.23,37.37,0
117,Project_117,2021-03-06,2021-11-26,276,265,167312.54,220038.44,17,8,Low,85.65,31.51,0
118,Project_118,2021-02-28,2021-10-26,247,240,273216.85,205729.22,4,8,High,85.15,-24.7,0
119,Project_119,2020-09-17,2021-04-11,183,206,361800.66,266534.57,16,4,Low,89.84,-26.33,0
120,Project_120,2021-10-08,2022-08-02,296,298,206751.47,247408.02,23,4,High,90.46,19.66,0
121,Project_121,2022-11-21,2023-02-22,100,93,471491.67,461086.19,10,5,Medium,89.74,-2.21,1
122,Project_122,2020-04-11,2020-12-27,216,260,67633.85,58659.15,10,6,Low,94.16,-13.27,0
123,Project_123,2021-08-12,2021-12-05,74,115,238075.71,277053.45,21,5,Medium,88.6,16.37,0
124,Project_124,2022-09-12,2022-12-30,104,109,485411.25,472426.77,9,7,Medium,81.92,-2.67,1
125,Project_125,2019-01-11,2019-05-22,124,131,296587.35,335087.57,21,2,Low,100.0,12.98,0
126,Project_126,2021-05-08,2021-11-25,148,201,240561.92,256943.06,8,7,Low,96.44,6.81,0
127,Project_127,2021-03-20,2021-09-24,130,188,305834.13,357157.04,8,10,High,76.9,16.78,0
128,Project_128,2019-11-29,2020-01-30,68,62,309166.06,315423.7,5,7,Medium,86.95,2.02,1
129,Project_129,2022-04-19,2022-08-31,147,134,379241.49,477136.64,9,1,Low,92.19,25.81,0
130,Project_130,2022-01-10,2022-09-06,188,239,107460.38,90702.34,21,7,Low,91.17,-15.59,0
131,Project_131,2021-07-04,2022-05-30,295,330,162507.4,204304.49,10,5,Medium,88.08,25.72,0
132,Project_132,2019-09-17,2020-04-22,195,218,311244.81,320373.3,12,3,Low,100.0,2.93,0
133,Project_133,2020-03-06,2020-12-10,275,279,440202.47,616043.14,22,3,Low,82.63,39.95,0
134,Project_134,2022-01-18,2022-07-08,122,171,302840.01,336815.28,17,4,Medium,86.64,11.22,0
135,Project_135,2020-06-09,2021-01-23,198,228,157368.59,232667.62,17,2,Low,75.75,47.85,0
136,Project_136,2021-11-14,2022-04-13,140,150,355930.15,420548.67,3,2,Low,87.9,18.15,0
137,Project_137,2020-11-09,2021-05-25,195,197,382958.94,336651.26,22,1,Low,98.33,-12.09,1
138,Project_138,2020-04-03,2020-12-18,222,259,157206.27,213396.9,9,5,Medium,90.75,35.74,0
139,Project_139,2019-12-06,2020-07-17,222,224,219978.0,214713.07,6,4,Medium,91.41,-2.39,1
140,Project_140,2020-11-09,2021-01-23,92,75,290447.36,284085.22,8,10,High,86.12,-2.19,0
141,Project_141,2021-05-14,2021-11-02,182,172,273452.54,198374.43,3,2,Low,96.92,-27.46,1
142,Project_142,2019-12-05,2020-02-24,64,81,225328.14,256642.5,7,3,Low,97.27,13.9,0
143,Project_143,2021-04-16,2022-01-23,293,282,183935.83,207394.79,3,7,Medium,98.31,12.75,0
144,Project_144,2021-09-16,2022-06-10,290,267,94993.2,93548.66,6,7,Medium,86.85,-1.52,1
145,Project_145,2019-11-10,2020-01-25,100,76,74068.38,104834.45,24,4,Medium,79.09,41.54,0
146,Project_146,2022-01-04,2022-05-07,87,123,481343.67,386518.35,4,5,Medium,97.72,-19.7,0
147,Project_147,2021-07-15,2022-01-11,194,180,431214.41,415725.02,12,5,Medium,95.91,-3.59,1
148,Project_148,2019-07-28,2020-04-15,260,262,209707.34,200745.75,7,6,Medium,100.0,-4.27,1
149,Project_149,2020-08-02,2020-12-28,131,148,480560.4,371873.24,12,9,High,89.42,-22.62,0
150,Project_150,2020-07-27,2020-11-20,71,116,354546.46,384653.24,3,2,Low,92.66,8.49,0
151,Project_151,2019-01-23,2019-09-29,221,249,267134.43,333978.88,24,5,Medium,87.95,25.02,0
152,Project_152,2020-08-28,2021-01-22,92,147,271861.55,301582.98,8,3,Low,97.76,10.93,0
153,Project_153,2022-08-28,2022-12-04,107,98,87477.99,72220.27,15,4,Medium,98.1,-17.44,1
154,Project_154,2021-05-04,2021-11-29,210,209,91266.87,91433.78,17,10,Low,87.48,0.18,1
155,Project_155,2022-05-20,2022-09-25,121,128,321098.42,225435.5,6,6,Low,96.33,-29.79,1
156,Project_156,2020-01-15,2020-11-05,275,295,299166.37,417229.65,15,8,High,82.01,39.46,0
157,Project_157,2022-11-20,2023-03-19,96,119,145727.55,111862.45,22,1,High,100.0,-23.24,0
158,Project_158,2022-07-25,2022-12-07,158,135,475787.54,560393.25,17,10,High,82.91,17.78,0
159,Project_159,2021-09-08,2022-04-23,231,227,401583.22,597959.66,10,8,High,72.49,48.9,0
160,Project_160,2021-01-09,2021-06-17,163,159,101059.07,114123.23,7,7,High,86.36,12.93,0
161,Project_161,2020-03-24,2020-12-12,273,263,468918.1,674882.59,17,1,Low,91.36,43.92,0
162,Project_162,2020-12-10,2021-09-13,278,277,488411.69,434145.84,6,2,Low,92.92,-11.11,1
163,Project_163,2019-07-28,2019-10-27,94,91,498169.06,651587.36,14,3,Low,88.1,30.8,0
164,Project_164,2019-08-14,2020-05-25,252,285,75142.02,84535.72,15,1,Low,92.78,12.5,0
165,Project_165,2019-09-14,2020-08-03,286,324,381666.0,487163.39,4,9,High,78.35,27.64,0
166,Project_166,2021-01-29,2021-08-07,160,190,295662.1,221709.05,21,8,High,94.39,-25.01,0
167,Project_167,2022-05-10,2023-01-16,234,251,367624.17,300786.89,21,2,Low,97.96,-18.18,1
168,Project_168,2019-05-31,2020-02-08,265,253,485893.37,391869.87,6,9,High,86.73,-19.35,0
169,Project_169,2021-03-06,2021-08-16,190,163,359613.5,449420.64,6,7,Medium,75.21,24.97,0
170,Project_170,2020-05-01,2020-07-04,60,64,426633.74,586857.12,13,9,High,78.96,37.56,0
171,Project_171,2021-02-25,2021-06-02,64,97,440090.92,571983.08,7,6,Low,85.24,29.97,0
172,Project_172,2021-06-05,2022-03-27,277,295,427316.34,309538.44,22,6,Medium,100.0,-27.56,1
173,Project_173,2021-10-18,2022-04-23,201,187,241741.16,336932.06,13,4,Medium,80.65,39.38,0
174,Project_174,2021-05-03,2021-10-25,162,175,150159.39,147654.33,12,10,High,86.1,-1.67,0
175,Project_175,2021-10-17,2022-01-10,86,85,228493.22,232544.65,10,10,High,85.71,1.77,0
176,Project_176,2019-12-29,2020-07-27,196,211,451353.61,353813.99,8,2,Low,100.0,-21.61,1
177,Project_177,2022-08-02,2023-03-31,266,241,115972.17,149595.3,8,7,Medium,80.33,28.99,0
178,Project_178,2021-03-30,2021-06-18,74,80,280996.78,237674.69,10,5,Medium,93.9,-15.42,1
179,Project_179,2022-10-06,2023-02-25,149,142,154952.63,178377.14,17,6,High,89.5,15.12,0
180,Project_180,2021-09-26,2022-01-20,101,116,311587.44,427674.95,16,2,Low,86.76,37.26,0
181,Project_181,2021-10-18,2022-05-11,183,205,438412.33,338175.25,13,5,High,90.27,-22.86,0
182,Project_182,2021-05-25,2022-03-14,264,293,446161.99,503390.5,14,10,High,82.12,12.83,0
183,Project_183,2020-08-08,2021-05-05,238,270,156508.34,138756.09,15,4,Medium,99.37,-11.34,0
184,Project_184,2022-08-21,2023-02-13,122,176,458462.17,446698.71,10,9,Low,81.37,-2.57,0
185,Project_185,2022-07-29,2023-01-01,155,156,316349.93,341397.24,20,6,Medium,89.29,7.92,1
186,Project_186,2022-08-10,2023-07-22,290,346,207598.21,204293.96,3,2,Low,93.5,-1.59,0
187,Project_187,2022-01-31,2022-05-24,111,113,368681.54,449444.28,17,1,Low,97.9,21.91,0
188,Project_188,2022-10-08,2023-04-17,155,191,266750.14,289067.97,10,5,Medium,82.37,8.37,0
189,Project_189,2022-08-06,2023-01-31,191,178,220094.42,256929.33,13,9,High,78.68,16.74,0
190,Project_190,2021-12-11,2022-09-12,281,275,367287.96,473602.39,14,6,Medium,84.2,28.95,0
191,Project_191,2020-07-16,2021-05-23,288,311,161925.87,185598.43,14,10,High,88.44,14.62,0
192,Project_192,2021-07-26,2022-03-20,210,237,198613.64,232224.7,6,7,Medium,84.09,16.92,0
193,Project_193,2020-06-25,2021-05-17,290,326,245503.33,282713.49,18,5,Medium,85.18,15.16,0
194,Project_194,2022-06-23,2023-04-30,296,311,164156.98,164652.42,6,10,Low,94.32,0.3,1
195,Project_195,2020-08-25,2021-03-08,202,195,232340.94,225360.83,7,6,Medium,83.76,-3.0,1
196,Project_196,2022-05-16,2023-01-02,230,231,307162.86,436084.62,7,5,Low,68.91,41.97,0
197,Project_197,2020-10-05,2021-01-17,88,104,383438.24,454774.69,10,9,Low,83.12,18.6,0
198,Project_198,2020-08-04,2021-01-01,95,150,395237.68,353928.44,12,6,Medium,88.49,-10.45,0
199,Project_199,2019-08-13,2019-10-16,72,64,420255.66,461692.09,19,8,High,79.94,9.86,0
200,Project_200,2021-06-02,2022-02-11,219,254,384895.25,371146.32,11,2,Low,100.0,-3.57,0
